   1.0000000000000000e+01   2.0000000000000000e+02   2.7000000000000000e+02   2.7741224000000000e+02   1.1182840210839998e+01   1.6762949699999999e+03   8.7889000000000005e-03   8.7806999999999995e-05
   2.0000000000000000e+01   4.0000000000000000e+02   2.7000000000000000e+02   4.9235516999999999e+02   1.7308018019220000e+01   1.6780302999999999e+03   2.7959000000000000e-03   2.7946000000000000e-05
   3.0000000000000000e+01   6.0000000000000000e+02   2.7000000000000000e+02   6.3017570000000001e+02   2.1956366856459997e+01   1.6797570499999999e+03   1.7102000000000000e-03   1.7091999999999998e-05
   4.0000000000000000e+01   8.0000000000000000e+02   2.7000000000000000e+02   7.3681614000000002e+02   2.5970940532039997e+01   1.6814829299999999e+03   1.2535999999999999e-03   1.2527999999999999e-05
   5.0000000000000000e+01   1.0000000000000000e+03   2.7000000000000000e+02   8.2585958000000005e+02   2.9574647058179995e+01   1.6832084800000000e+03   9.9988000000000008e-04   9.9953999999999992e-06
   6.0000000000000000e+01   1.2000000000000000e+03   2.7000000000000000e+02   9.0334599000000003e+02   3.2912997302400001e+01   1.6849336599999999e+03   8.3741999999999996e-04   8.3621999999999993e-06
   7.0000000000000000e+01   1.4000000000000000e+03   2.7000000000000000e+02   9.7254439000000002e+02   3.6011049437539995e+01   1.6866582900000001e+03   7.2397000000000000e-04   7.2280000000000001e-06
   8.0000000000000000e+01   1.6000000000000000e+03   2.7000000000000000e+02   1.0354509100000000e+03   3.8892060027980001e+01   1.6883821900000000e+03   6.3997999999999995e-04   6.3980999999999998e-06
   9.0000000000000000e+01   1.8000000000000000e+03   2.7000000000000000e+02   1.0933929200000000e+03   4.1669030370940000e+01   1.6901051500000001e+03   5.7512000000000004e-04   5.7455999999999997e-06
   1.0000000000000000e+02   2.0000000000000000e+03   2.7000000000000000e+02   1.1472876900000001e+03   4.4288718178759993e+01   1.6918269900000000e+03   5.2342000000000003e-04   5.2316000000000000e-06
   1.0000000000000000e+01   2.0000000000000000e+02   2.7500000000000000e+02   2.6745871000000000e+02   1.0994430135480000e+01   1.6917082000000000e+03   9.6299000000000003e-03   9.6250999999999997e-05
   2.0000000000000000e+01   4.0000000000000000e+02   2.7500000000000000e+02   4.8335646000000003e+02   1.7135881964299998e+01   1.6934251300000001e+03   2.9545000000000001e-03   2.9496999999999999e-05
   3.0000000000000000e+01   6.0000000000000000e+02   2.7500000000000000e+02   6.2118032000000005e+02   2.1737999804619996e+01   1.6951325300000001e+03   1.7925000000000000e-03   1.7901999999999999e-05
   4.0000000000000000e+01   8.0000000000000000e+02   2.7500000000000000e+02   7.2760004000000004e+02   2.5712645809159998e+01   1.6968391099999999e+03   1.3091000000000001e-03   1.3074000000000001e-05
   5.0000000000000000e+01   1.0000000000000000e+03   2.7500000000000000e+02   8.1635886000000005e+02   2.9280511018039999e+01   1.6985454500000001e+03   1.0420000000000000e-03   1.0409000000000000e-05
   6.0000000000000000e+01   1.2000000000000000e+03   2.7500000000000000e+02   8.9353959999999995e+02   3.2553104868100000e+01   1.7002515400000000e+03   8.7153000000000003e-04   8.7111000000000003e-06
   7.0000000000000000e+01   1.4000000000000000e+03   2.7500000000000000e+02   9.6243331999999998e+02   3.5617280444759992e+01   1.7019572000000001e+03   7.5272999999999996e-04   7.5220000000000001e-06
   8.0000000000000000e+01   1.6000000000000000e+03   2.7500000000000000e+02   1.0250431599999999e+03   3.8505255966239993e+01   1.7036622700000000e+03   6.6492000000000005e-04   6.6422999999999999e-06
   9.0000000000000000e+01   1.8000000000000000e+03   2.7500000000000000e+02   1.0826890500000000e+03   4.1213392528379998e+01   1.7053665400000000e+03   5.9719000000000005e-04   5.9715000000000003e-06
   1.0000000000000000e+02   2.0000000000000000e+03   2.7500000000000000e+02   1.1363028099999999e+03   4.3848240674019998e+01   1.7070698199999999e+03   5.4325000000000000e-04   5.4256000000000002e-06
   1.0000000000000000e+01   2.0000000000000000e+02   2.8000000000000000e+02   2.5753174000000001e+02   1.0809194533339999e+01   1.7069821099999999e+03   1.0574999999999999e-02   1.0560000000000001e-04
   2.0000000000000000e+01   4.0000000000000000e+02   2.8000000000000000e+02   4.7441341000000000e+02   1.6948509018859998e+01   1.7086812900000000e+03   3.1224000000000000e-03   3.1195999999999997e-05
   3.0000000000000000e+01   6.0000000000000000e+02   2.8000000000000000e+02   6.1228247999999996e+02   2.1521804561899998e+01   1.7103698700000000e+03   1.8783000000000001e-03   1.8751999999999999e-05
   4.0000000000000000e+01   8.0000000000000000e+02   2.8000000000000000e+02   7.1850766999999996e+02   2.5456920003299999e+01   1.7120576500000000e+03   1.3667000000000000e-03   1.3644000000000000e-05
   5.0000000000000000e+01   1.0000000000000000e+03   2.8000000000000000e+02   8.0700180999999998e+02   2.8989300361259996e+01   1.7137452800000001e+03   1.0855000000000001e-03   1.0840000000000000e-05
   6.0000000000000000e+01   1.2000000000000000e+03   2.8000000000000000e+02   8.8389631999999995e+02   3.2229346035299997e+01   1.7154327599999999e+03   9.0662999999999996e-04   9.0582000000000008e-06
   7.0000000000000000e+01   1.4000000000000000e+03   2.8000000000000000e+02   9.5249983999999995e+02   3.5263046297659997e+01   1.7171199500000000e+03   7.8226999999999995e-04   7.8138999999999998e-06
   8.0000000000000000e+01   1.6000000000000000e+03   2.8000000000000000e+02   1.0148226000000000e+03   3.8122298934499995e+01   1.7188066500000000e+03   6.9048999999999998e-04   6.8947999999999996e-06
